"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,product_count_product_cat,display_type,thumbnail_id,order,_astra_sites_imported_term,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text"
394,Zaino,bambino-borse-sacca,"<!-- slug:/bambino/borse/sacca/ -->",277,"Tutte le borse",donna-borse,207,207,,42014,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700922194.jpeg,251120231700922194.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700922194.jpeg,42014,251120231700922194.jpeg,,,
395,"Lampade a sospensione",lifestyle-illuminazione-lampade-a-sospensione,"<!-- slug:/lifestyle/illuminazione/lampade-a-sospensione/ -->",,,,,,,,,,,,,,,,,
396,"Lampade da parete",lifestyle-illuminazione-lampade-da-parete,"<!-- slug:/lifestyle/illuminazione/lampade-da-parete/ -->",,,,,,,,,,,,,,,,,
397,"Lampade da tavolo",lifestyle-illuminazione-lampade-da-tavolo,"<!-- slug:/lifestyle/illuminazione/lampade-da-tavolo/ -->",,,,6,6,,102149,,,https://grandeshop.it/wp-content/uploads/2023/12/021220231701483290.jpeg,021220231701483290.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/021220231701483290.jpeg,102149,021220231701483290.jpeg,,,
398,"Lampade da terra",lifestyle-illuminazione-lampade-da-terra,"<!-- slug:/lifestyle/illuminazione/lampade-da-terra/ -->",,,,,,,,,,,,,,,,,
399,Paralumi,lifestyle-illuminazione-paralumi,"<!-- slug:/lifestyle/illuminazione/paralumi/ -->",,,,,,,,,,,,,,,,,
400,"Accessori beauty",lifestyle-complementi-d-arredo-accessori-beauty,"<!-- slug:/lifestyle/complementi-d-arredo/accessori-beauty/ -->",,,,2,2,,,,,,,,,,,,
401,"Accessori da scrivania",lifestyle-complementi-d-arredo-accessori-da-scrivania,"<!-- slug:/lifestyle/complementi-d-arredo/accessori-da-scrivania/ -->",,,,7,7,,102457,,,https://grandeshop.it/wp-content/uploads/2023/12/021220231701485736.jpeg,021220231701485736.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/021220231701485736.jpeg,102457,021220231701485736.jpeg,,,
402,"Accessori decorativi",lifestyle-complementi-d-arredo-accessori-decorativi,"<!-- slug:/lifestyle/complementi-d-arredo/accessori-decorativi/ -->",,,,6,6,,101919,,,https://grandeshop.it/wp-content/uploads/2023/12/021220231701482221.jpeg,021220231701482221.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/021220231701482221.jpeg,101919,021220231701482221.jpeg,,,
403,"Candele e fragranze",lifestyle-complementi-d-arredo-candele-e-fragranze,"<!-- slug:/lifestyle/complementi-d-arredo/candele-e-fragranze/ -->",,,,68,68,,101453,,,https://grandeshop.it/wp-content/uploads/2023/12/021220231701481676.jpeg,021220231701481676.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/021220231701481676.jpeg,101453,021220231701481676.jpeg,,,
404,Cuscini,lifestyle-complementi-d-arredo-cuscini,"<!-- slug:/lifestyle/complementi-d-arredo/cuscini/ -->",,,,42,42,,98802,,,https://grandeshop.it/wp-content/uploads/2023/12/011220231701454285.jpeg,011220231701454285.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/011220231701454285.jpeg,98802,011220231701454285.jpeg,,,
